GMST|0x6de1c|fCombatTeammateFollowRadiusMult|
TXST|0x1013e95|NVDLC01RefOutfitFtex|
TXST|0x1013e94|NVDLC01RefOutfitMtex|
TXST|0x1013c9a|nvdlc01sierramadrehelmetreinforced01|
TXST|0x101352f|NVDLC01RouletteTableSM|
TXST|0x101352e|NVDLC01BlackJackTableSM|
TXST|0x1012206|NVDLC01KnifeSpearCleanTXT|
TXST|0x10119de|1stPersonNVDLC01BeartrapfistTXT|
TXST|0x101140d|1stpersonNVDLC01Democharge|
TXST|0x101140c|NVDLC01DemoCharge|
TXST|0x1010afc|NVDLC01OfficeTexture02|
TXST|0x1010afb|NVDLC01OfficeFloorTexture|
TXST|0x1010afa|NVDLC01OfficeTexture|
TXST|0x100f3a6|NVDLC01deadmansTexF|
TXST|0x100f3a5|NVDLC01deadmansTexM|
TXST|0x100e79d|NVDLC01DecoRugTextureSet01|
TXST|0x100e71e|NVDLC01dinerTableNV|
TXST|0x100dfaf|NVDLC01VillaCobblestone|
TXST|0x100bd5f|NVDLC01SuitesRubbleTextureSet01|
TXST|0x10092ed|1stPersonNVDLC01HolorifleTexture3|
TXST|0x10092ec|1stPersonNVDLC01HolorifleTexture1|
TXST|0x10092eb|1stPersonNVDLC01HolorifleTexture|
TXST|0x100490f|1stPersonNVDLC01AutomaticRifleTexture|
GLOB|0x10124eb|NVDLC01Act1XPPercentage|
GLOB|0x10124ea|NVDLC01Act2XP|
GLOB|0x10124e9|NVDLC01Act1XP|
GLOB|0x10124e8|NVDLC01Act3XPPercentage|
GLOB|0x10124e7|NVDLC01Act2XPPercentage|
GLOB|0x10124e6|NVDLC01Act3XP|
GLOB|0x100e3f8|NVDLC01DeanToxicCloudModifier|
GLOB|0x100bfba|NVDLC01Collars|
GLOB|0x10091c9|NVDLC01RadiusCoe|
GLOB|0x10091c8|NVDLC01DeathInterval|
GLOB|0x10091c7|NVDLC01DeathTimer|
GLOB|0x10091c6|NVDLC01RadiusTimer|
CLAS|0x10139e4|NVDLC01DeanClass|Lounge Lizard
CLAS|0x10139e3|NVDLC01ChristineClass|Tech Wizard
CLAS|0x1012083|NVDLC01ElijahClass|Tech Merlin
CLAS|0x1004f0e|NVDLC01HologramClass|Hologram
FACT|0x1010ef1|NVDLC01TrapFaction|Trap Faction
FACT|0x100fb8f|NVDLC01HologramStarletFaction|Hologram Starlet Faction
FACT|0x100d4e6|NVDLC01AntiGhostFaction|AntiGhost Faction
FACT|0x100cdbc|NVDLC01DogAttackFaction|Dog Eats Enemies
FACT|0x100c4f6|NVDLC01DogFaction|Dog and God Faction
FACT|0x100c4f5|NVDLC01DeanFaction|Dean Faction
FACT|0x100ae28|NVDLC01ElijahFaction|Father Elijah Faction
FACT|0x100a56b|NVDLC01VaultSecurityFaction|Vault Security Faction
FACT|0x1009254|NVDLC01HologramFaction|Hologram Generic Faction
FACT|0x1009253|NVDLC01HologramFriendFaction|Hologram Friend Faction
FACT|0x1009252|NVDLC01HologramSecurityFaction|Hologram Security Faction
FACT|0x100923b|NVDLC01SuitesFaction|Suites Holograms
FACT|0x100923a|NVDLC01ChristineFaction|Christine Faction
FACT|0x1001198|NVDLC01GhostFaction|Ghost People Faction
RACE|0x1005819|Christine|
SOUN|0x101408c|DRSNVDLC01PortaShelter01Open|
SOUN|0x205f9|DRSPortaShelter01Open|
SOUN|0x1014073|NVDLC01HologramSilence|
SOUN|0x1013fec|QSTDLCTrap|
SOUN|0x1013fdd|FXMeleeBearClawMetal|
SOUN|0x1013fdc|FXMeleeBearClawFlesh|
SOUN|0x1013fdb|FXMeleeBearClawConc|
SOUN|0x15d39c|AMLRadioLarge|
SOUN|0x16cbf4|AMBAtomicWranglerSWMB|
SOUN|0x16c38b|AMBAtomicWranglerLP|
SOUN|0x1013f4a|DRSNVDLC01GateClose|
SOUN|0x1013f49|DRSNVDLC01GateOpen|
SOUN|0x88b1a|DRSGateOasis01Open|
SOUN|0x1013f47|EMTNVDLC01ChristineElevator|
SOUN|0x1013f46|AMBNVDLC01MetalBunkerLP|
SOUN|0x1013f3d|AMBNVDLC01VaultLP|
SOUN|0x1013f3c|EMTNVDLC01AlarmMedium|
SOUN|0x1013f3b|EMTNVDLC01AlarmSmall|
SOUN|0x1013f3a|EMTNVDLC01Silence|
SOUN|0x1013f39|EMTNVDLC01Alarm|
SOUN|0x1013f30|NVDLC01LoudSpkrSparks|
SOUN|0x1013f15|EMTGhostWallBang|
SOUN|0x1013f14|NVDLC01Sparks|
SOUN|0x1013f13|NPCElijahConsciousLp|
SOUN|0x1013e89|ObjElijahPanelOpen|
SOUN|0x1013e88|QSTNVDLC01DisableVaultTurret|
SOUN|0x1013e83|QstElijahDeath2D|
SOUN|0x1013e4b|DLCEMTWaterPipeSprayLP|
SOUN|0x1013e42|QSTNVDLC01VeraRecording|
SOUN|0x1013e3f|QSTDLC01GalaFireworksCACHE|
SOUN|0x179413|QSTFortSaveCaesar|
SOUN|0x1013e3e|EMTCraftingOven|
SOUN|0x1013e3c|EmtDLCElectricArc|
SOUN|0x1013e3b|AMBGalaWindF01|
SOUN|0x1013e3a|AMBGalaWindH01|
SOUN|0x1013e39|AMBGalaWindG03|
SOUN|0x1013e38|AMBGalaWindG02|
SOUN|0x1013e37|AMBGalaWindE02|
SOUN|0x1013e36|AMBGalaWindE01|
SOUN|0x1013e35|AMBGalaWindB01|
SOUN|0x1013e34|AMBGalaWindA02|
SOUN|0x1013e33|AMBGalaWindA01|
SOUN|0x17769|FXFlinderBodyHead|
SOUN|0x1013dab|QSTNVDLC01CasinoStinger|
SOUN|0x1013daa|QSTNVDLC01OpeningStinger|
SOUN|0x101375f|AMBDLC01GalaBaitLP|
SOUN|0x101307d|AMBNVDLC01SierraMadreSlots|
SOUN|0x1013029|NPCGhostGasThrow|
SOUN|0x1013028|NPCDogGodImpact|
SOUN|0x1013027|NPCDogGodNeckSnap|
SOUN|0x1013026|NPCDogGodEat|
SOUN|0x1013025|DRSVaultDoorCls|
SOUN|0x1013024|DRSVaultDoorOpn|
SOUN|0x1012f9e|AMBNVDLC01VeraFountainBait|
SOUN|0x1012f9d|QSTVentSystemTurnOn|
SOUN|0x1012f9c|DRSMetalGateOpen|
SOUN|0x1012f9b|DRSMetalGateClose|
SOUN|0x1012f9a|OBJBasementPwrOff|
SOUN|0x1012f99|OBJCasinoSwitch|
SOUN|0x1012f98|OBJVendingMachineDLC01LP|
SOUN|0x1012f95|NVDLC1Alarm|
SOUN|0x1012f8e|QSTGasValveShutOff|
SOUN|0x1012f8d|AMBNVDLC01RadioSpeakerSound|
SOUN|0x1012f5d|DRSDogGateUnlock|
SOUN|0x1012f5c|DRSDogGateLock|
SOUN|0x1012f52|NPCNCDLC01ChristineRadio|
SOUN|0x1012f51|OBJNVDLC01HologramDisable|
SOUN|0x1012f50|OBJNVDLC01HologramSwitch|
SOUN|0x1012e8c|EMTNVDLC01HologramEmitter|
SOUN|0x1012cca|WPNBearClawWhoosh|
SOUN|0x1012cc9|WPNBearClawFistFire3D|
SOUN|0x1012cb8|QSTDLC01GalaBeam|
SOUN|0x1012cb7|QSTDLC01GalaFireworks|
SOUN|0x1012c92|NVDLC01AMBVaultEscapeStart|
SOUN|0x1012c91|NVDLC01AMBVaultEscapeLp|
SOUN|0x1012c90|AMBElectricArcVault|
SOUN|0x1012c1b|MUSNVDLC01SlideShowStart|
SOUN|0x1012c1a|MUSNVDLC01SlideShowEnd|
