0x31c5d|0x302a6|1||0
0x10111ff|0x378a0|1||0
0x10111ff|0x1658c4|2||0
0x10111fe|0x378a0|1||0
0x10111fe|0x1658c4|2||0
0x10111fd|0x378a0|1||0
0x10111fd|0x1658c4|2||0
0x10111fc|0x176347|1||0
0x10111fc|0x8427e|1||0
0x10111fc|0x16bb2a|1||0
0x10111fc|0x31daf|1||0
0x10111fb|0x176347|1||0
0x10111fb|0x8427e|1||0
0x10111fb|0x16bb2a|1||0
0x10111fb|0x31daf|1||0
0x10111fa|0x165762|1||0
0x10111fa|0x165746|1||0
0x10111fa|0x165765|1||0
0x10111fa|0x1657fd|1||0
0x10111f9|0x165762|1||0
0x10111f9|0x165746|1||0
0x10111f9|0x165765|1||0
0x10111f9|0x1657fd|1||0
0x10111f8|0x165762|1||0
0x10111f8|0x165746|1||0
0x10111f8|0x165765|1||0
0x10111f8|0x1657fd|1||0
0x10111f7|0x176347|1||0
0x10111f7|0x8427e|1||0
0x10111f7|0x16bb2a|1||0
0x10111f7|0x31daf|1||0
0x10111f6|0x176347|1||0
0x10111f6|0x8427e|1||0
0x10111f6|0x16bb2a|1||0
0x10111f6|0x31daf|1||0
0x10111f5|0x176347|1||0
0x10111f5|0x8427e|1||0
0x10111f5|0x16bb2a|1||0
0x10111f5|0x31daf|1||0
0x10111f4|0x378a1|1||0
0x10111f4|0x645d5|1||0
0x10111f4|0x609f2|1||0
0x10111f4|0x84287|1||0
0x10111f3|0x378a1|1||0
0x10111f3|0x645d5|1||0
0x10111f3|0x609f2|1||0
0x10111f3|0x84287|1||0
0x10111f2|0x378a1|1||0
0x10111f2|0x645d5|1||0
0x10111f2|0x609f2|1||0
0x10111f2|0x84287|1||0
0x10111ee|0x1011892|2|LVLI|0
0x10111ed|0x100e925|1|LVLI|0
0x10111ed|0x1011893|2|LVLI|0
0x10111ec|0x1011894|2|LVLI|0
0x10111eb|0xe766a|1||0
0x10111eb|0x176789|1||0
0x10111eb|0x17678a|1||0
0x10111eb|0x378a2|1||0
0x10111ea|0xe766a|1||0
0x10111ea|0x176789|1||0
0x10111ea|0x17678a|1||0
0x10111ea|0x378a2|1||0
0x10111e9|0xe766a|1||0
0x10111e9|0x176789|1||0
0x10111e9|0x17678a|1||0
0x10111e9|0x378a2|1||0
0x10111e8|0x101189b|1|LVLI|0
0x10111e8|0x101189b|1|LVLI|0
0x10111e8|0x101189b|1|LVLI|0
0x10111e8|0x101189b|1|LVLI|0
0x10111e8|0x101189b|1|LVLI|0
0x10111e8|0x38e0c|1|ALCH|0
0x10111e8|0x38e0c|1|ALCH|0
0x10111e7|0x37872|1||0
0x10111e7|0x122bc8|1||0
0x10111e7|0x842b7|1||0
0x10111e7|0xf9ce2|1||0
0x10111e7|0xc051c|2||0
0x10111e7|0xfec77|1||0
0x10111e6|0x37872|1||0
0x10111e6|0x122bc8|1||0
0x10111e6|0x842b7|1||0
0x10111e6|0xf9ce2|1||0
0x10111e6|0xc051c|2||0
0x10111e6|0xfec77|1||0
0x10111e5|0x37872|1||0
0x10111e5|0x122bc8|1||0
0x10111e5|0x842b7|1||0
0x10111e5|0xf9ce2|1||0
0x10111e5|0xc051c|2||0
0x10111e5|0x10118c4|1|LVLI|0
0x10111e5|0x100f4a5|1|LVLI|0
0x10111e5|0x1010de8|1|LVLI|0
0x10111e5|0x1010de8|1|LVLI|0
0x10111e5|0x1010de6|1|LVLI|0
0x10111e5|0x10118bf|1|LVLI|0
0x10111e5|0x12d508|1||0
0x10111e4|0x37872|1||0
0x10111e4|0x122bc8|1||0
0x10111e4|0x842b7|1||0
0x10111e4|0x10118c1|1|LVLI|0
0x10111e4|0x1010de8|1|LVLI|0
0x10111e4|0x100f4a5|1|LVLI|0
0x10111e4|0x100f4a4|1|LVLI|0
0x10111e3|0x31da3|1||0
0x10111e3|0x645d5|1||0
0x10111e3|0x11ddba|1||0
0x10111e3|0x16baec|1||0
0x10111e2|0x31da3|1||0
0x10111e2|0x645d5|1||0
0x10111e2|0x11ddba|1||0
0x10111e2|0x16baec|1||0
0x10111e1|0x31da3|1||0
0x10111e1|0x645d5|1||0
0x10111e1|0x11ddba|1||0
0x10111e1|0x16baec|1||0
0x10111e0|0x31da3|1||0
0x10111e0|0x645d5|1||0
0x10111e0|0x11ddba|1||0
0x10111e0|0x16baec|1||0
0x10111df|0x31da3|1||0
0x10111df|0x645d5|1||0
0x10111df|0x11ddba|1||0
0x10111df|0x16baec|1||0
0x10111de|0x37875|1||0
0x10111de|0x389a4|1||0
0x10111de|0x645d5|1||0
0x10111de|0x1768fe|1||0
0x10111de|0x16bb6d|1||0
0x10111de|0x176927|1||0
0x10111dd|0x37875|1||0
0x10111dd|0x389a4|1||0
0x10111dd|0x645d5|1||0
0x10111dd|0x1768fe|1||0
0x10111dd|0x16bb6d|1||0
0x10111dd|0x176927|1||0
0x10111dc|0x37875|1||0
0x10111dc|0x389a4|1||0
0x10111dc|0x645d5|1||0
0x10111dc|0x1768fe|1||0
0x10111dc|0x16bb6d|1||0
0x10111dc|0x176927|1||0
0x10111db|0x10117cf|1|LVLI|0
0x10111da|0x146af7|1||0
0x10111da|0x16bb74|1||0
0x10111da|0x16bb76|1||0
0x10111da|0x16bad2|1||0
0x10111da|0x16bb8b|1||0
0x10111da|0x100f4e4|1|LVLI|0
0x10111da|0x100f4e5|1|LVLI|0
0x10111d9|0x146af7|1||0
0x10111d9|0x16bb74|1||0
0x10111d9|0x16bb76|1||0
0x10111d9|0x16bad2|1||0
0x10111d9|0x16bb8b|1||0
0x10111d9|0x100f4e4|1|LVLI|0
0x10111d9|0x100f4e5|1|LVLI|0
0x10111d8|0x146af7|1||0
0x10111d8|0x16bb74|1||0
0x10111d8|0x16bb76|1||0
0x10111d8|0x16bad2|1||0
0x10111d8|0x16bb8b|1||0
0x10111d8|0x100f4e4|1|LVLI|0
0x10111d8|0x100f4e5|1|LVLI|0
0x10111d7|0x146af7|1||0
0x10111d7|0x16bb74|1||0
0x10111d7|0x16bb76|1||0
0x10111d7|0x16bad2|1||0
0x10111d7|0x16bb8b|1||0
