0x101134c|0x1009fef|1|0.35
0x1010d1e|0x100e88c|1|0
0x1010d1e|0x100cb83|1|0
0x1010d1e|0x100cb80|1|0
0x1010d1e|0x100cb7d|1|0
0x1010d1e|0x100cb7b|1|0
0x1010d1e|0x100cb77|1|0
0x1010d1e|0x100f1bd|1|0
0x1010d1e|0x100f1c0|1|0
0x1010cea|0x13e2a8|1|0
0x1010cea|0x100cb77|1|0
0x1010cea|0x100cb7b|1|0
0x1010cea|0x100cb7d|1|0
0x1010cea|0x100cb80|1|0
0x1010cea|0x100cb83|1|0
0x1010cea|0x100e88c|1|0
0x1010bf6|0x100f1b8|1|0
0x1010bf6|0x100cb77|1|0
0x1010bf6|0x100cb7b|1|0
0x1010bf6|0x100cb7d|1|0
0x1010bf6|0x100cb80|1|0
0x1010bf6|0x100cb83|1|0
0x1010bf6|0x100e88c|1|0
0x1010bf5|0x100f1b8|1|0
0x1010bf5|0x100cb77|1|0
0x1010bf5|0x100cb7b|1|0
0x1010bf5|0x100cb7d|1|0
0x1010bf5|0x100cb80|1|0
0x1010bf5|0x100cb83|1|0
0x1010bf5|0x100e88c|1|0
0x1010948|0x1768e5|1|0
0x1010948|0x1164fb|1|0
0x1010948|0x13bf53|1|0.9
0x1010947|0x100cb81|1|0
0x1010947|0x100cb6d|1|0
0x1010947|0x100cb7d|1|0
0x1010947|0x100cb6c|1|0
0x1010947|0x100cb7b|1|0
0x1010947|0x100cb6b|1|0
0x1010947|0x100cb6a|1|0
0x1010947|0x100947b|3|0
0x1010947|0x10108c7|1|0
0x1010947|0x100a7ec|1|0
0x1010241|0x100f27c|1|0
0x1010241|0x100f27d|1|0
0x1010241|0x100f27b|1|0
0x101014a|0x100f1bd|1|0
0x101014a|0x13e2a8|1|0
0x101014a|0x100e88c|1|0
0x101014a|0x100cb83|1|0
0x101014a|0x100cb80|1|0
0x101014a|0x100cb7d|1|0
0x101014a|0x100cb7b|1|0
0x101014a|0x100cb77|1|0
0x101014a|0x100f1c0|1|0
0x1010149|0x100f1c0|1|0
0x1010149|0x100f1bd|1|0
0x1010149|0x100cb77|1|0
0x1010149|0x100cb7b|1|0
0x1010149|0x100cb7d|1|0
0x1010149|0x100cb80|1|0
0x1010149|0x100cb83|1|0
0x1010149|0x100e88c|1|0
0x1010135|0xee481|1|0
0x1010064|0x100e88c|1|0
0x1010064|0x100cb83|1|0
0x1010064|0x100cb70|1|0
0x1010064|0x100cb80|1|0
0x1010064|0x100cb7d|1|0
0x1010064|0x100cb7b|1|0
0x1010064|0x100cb77|1|0
0x1010064|0x100990a|1|0
0x1010050|0x100990a|1|0
0x1010050|0x100cb77|1|0
0x1010050|0x100cb7b|1|0
0x1010050|0x100cb7d|1|0
0x1010050|0x100cb80|1|0
0x1010050|0x100cb70|1|0
0x1010050|0x100cb83|1|0
0x1010050|0x100e88c|1|0
0x1010050|0x13e2a8|1|0
0x1010046|0x100e88c|1|0
0x1010046|0x100cb83|1|0
0x1010046|0x100cb70|1|0
0x1010046|0x100cb80|1|0
0x1010046|0x100cb7d|1|0
0x1010046|0x100cb7b|1|0
0x1010046|0x100cb77|1|0
0x1010046|0x100990a|1|0
0x1010046|0x13e2a8|1|0
0x100f8a9|0x1011679|1|0
0x100f8a9|0x100cb6f|1|0
0x100f8a9|0x100cb81|1|0
0x100f8a9|0x100cb7f|1|0
0x100f8a9|0x100cb7c|1|0
0x100f8a9|0x100cb78|1|0
0x100f387|0x100990a|1|0
0x100f387|0x100cb77|1|0
0x100f387|0x100cb7b|1|0
0x100f387|0x100cb7d|1|0
0x100f387|0x100cb80|1|0
0x100f387|0x100cb70|1|0
0x100f387|0x100cb83|1|0
0x100f387|0x100e88c|1|0
0x100f387|0x29362|1|0
0x100f386|0x100e88c|1|0
0x100f386|0x100cb83|1|0
0x100f386|0x100cb70|1|0
0x100f386|0x100cb80|1|0
0x100f386|0x100cb7d|1|0
0x100f386|0x100cb7b|1|0
0x100f386|0x100cb77|1|0
0x100f386|0x100990a|1|0
0x100f386|0xff5cb|1|0
0x100f37b|0x1011679|1|0
0x100f37b|0x100cb78|1|0
0x100f37b|0x100cb7c|1|0
0x100f37b|0x100cb7f|1|0
0x100f37b|0x100cb81|1|0
0x100f37b|0x100f1d5|1|0
0x100f37b|0x100f1d6|1|0
0x100f37a|0x1011675|1|0
0x100f37a|0x100cb75|1|0
0x100f37a|0x100cb81|1|0
0x100f37a|0x100cb7f|1|0
0x100f37a|0x100cb7c|1|0
0x100f37a|0x100cb77|1|0
0x100f1e7|0x100e88c|1|0
0x100f1e7|0x100cb83|1|0
0x100f1e7|0x100f1be|1|0
0x100f1e7|0x100cb80|1|0
0x100f1e7|0x100cb7d|1|0
0x100f1e7|0x100cb7b|1|0
0x100f1e7|0x100cb77|1|0
0x100f1ce|0x1011679|1|0
0x100f1ce|0x100cb78|1|0
0x100f1ce|0x100cb7c|1|0
0x100f1ce|0x100cb7f|1|0
0x100f1ce|0x100cb81|1|0
0x100f1ce|0x100f1e5|1|0
0x100f1cd|0x1011679|1|0
0x100f1cd|0x100cb78|1|0
0x100f1cd|0x100cb7c|1|0
0x100f1cd|0x100cb7f|1|0
0x100f1cd|0x100cb81|1|0
0x100f1cd|0x100f1e5|1|0
0x100f1cc|0x100f1c0|1|0
0x100f1cc|0x100f1bd|1|0
0x100f1cc|0x100cb77|1|0
0x100f1cc|0x100cb7b|1|0
0x100f1cc|0x100cb7d|1|0
0x100f1cc|0x100cb80|1|0
0x100f1cc|0x100cb83|1|0
0x100f1cc|0x100e88c|1|0
0x100f1cb|0x100f1c0|1|0
0x100f1cb|0x100f1bd|1|0
0x100f1cb|0x100cb77|1|0
0x100f1cb|0x100cb7b|1|0
0x100f1cb|0x100cb7d|1|0
0x100f1cb|0x100cb80|1|0
0x100f1cb|0x100cb83|1|0
0x100f1cb|0x100e88c|1|0
0x100f1ca|0x100f1c0|1|0
0x100f1ca|0x100f1bd|1|0
0x100f1ca|0x100cb77|1|0
0x100f1ca|0x100cb7b|1|0
0x100f1ca|0x100cb7d|1|0
0x100f1ca|0x100cb80|1|0
0x100f1ca|0x100cb83|1|0
0x100f1ca|0x100e88c|1|0
0x100f1c9|0x100f1b8|1|0
0x100f1c9|0x100cb77|1|0
0x100f1c9|0x100cb7b|1|0
0x100f1c9|0x100cb7d|1|0
0x100f1c9|0x100cb80|1|0
0x100f1c9|0x100cb83|1|0
0x100f1c9|0x100e88c|1|0
0x100f19e|0x62d97|1|0
0x100f19e|0x96bf9|1|0
0x100f19e|0x15169|3|0
0x100f19e|0x100f27e|1|0
0x100f19d|0x5c99f|1|0.75
0x100f19d|0x15169|1|0
0x100f19d|0x151a3|1|0
0x100f19d|0xf52b7|1|0
0x100f19d|0x3029c|1|0
0x100f19d|0xfd175|1|0.5
0x100f19d|0x25b83|1|0.9
