0x100dc37|0|0x424a|0|0x100974f|0x1003e40|0xc9
0x100dafc|0|0x10083d7|0|0x0|0x10086ef|0xd8
0x100dafb|0|0x10083d7|0|0x0|0x10086ee|0xd8
0x100dafa|0|0x10083d7|0|0x0|0x10086ee|0xd8
0x100daf3|0|0x10083d7|0|0x0|0x10086f1|0xde
0x100daf1|0|0x10083d7|0|0x100d0f0|0x10086f0|0xdb
0x100daef|0|0x10083d7|0|0x100d0f0|0x10086f0|0xd9
0x100daee|0|0x10083d7|0|0x0|0x10086f1|0xdc
0x100daed|0|0x10083d7|0|0x0|0x10086ee|0xd8
0x100daec|0|0x10083d7|0|0x0|0x10086ee|0xd8
0x100daeb|0|0x10083d7|0|0x0|0x10086ef|0xd8
0x100d99a|0|0x10083d7|0|0x0|0x10086f1|0x10
0x100d973|0|0x38e5|0|0x0|0x842d1|0x2dd
0x100d971|0|0x424a|0|0x0|0x84250|0x2dd
0x100d970|0|0x19|0|0x0|0x84241|0x2dd
0x100d8fc|0|0x10083d7|0|0x0|0x10086f1|0x50
0x100d89f|0|0x10083d7|0|0x0|0x10086f1|0x50
0x100d789|0|0x10083d7|0|0x100d0f0|0x10086f1|0xdf
0x100d788|0|0x10083d7|0|0x100d0f0|0x10086f0|0x3df
0x100d787|0|0x10083d7|0|0x100d0f0|0x10086ef|0xdf
0x100d786|0|0x10083d7|0|0x100d0f0|0x10086ee|0x1df
0x100d315|0|0x42c2|0|0x0|0x0|0x0
0x100d314|1|0x19|0|0x0|0x0|0x0
0x100d313|0|0x19|0|0x0|0x0|0x0
0x100d312|0|0x19|0|0x0|0x0|0x0
0x100d311|0|0x19|0|0x0|0x0|0x0
0x100d1ae|0|0x3b3e|0|0x0|0x8159a|0x51
0x100d1aa|0|0x3b3e|0|0x0|0x8159a|0x51
0x100d1a4|0|0x3b3e|0|0x0|0x8159a|0x51
0x100d1a3|0|0x10083d7|0|0x0|0x10086ef|0x80
0x100c9d5|0|0x10083d7|0|0x100d0f0|0x10086ef|0x2df
0x100c859|0|0x10083d7|0|0x100d0f0|0x10086f0|0x2df
0x100c34c|0|0x10083d7|0|0x100d0f0|0x10086ee|0x351
0x100c34b|0|0x10083d7|0|0x100d0f0|0x10086ef|0x351
0x100c312|0|0x10083d7|0|0x100d0f0|0x10086f0|0x351
0x100c30f|0|0x10083d7|0|0x100d0f0|0x10086f1|0x351
0x100c346|0|0x3b3e|0|0x0|0x0|0x0
0x100c204|0|0x10083d7|0|0x0|0x10086f1|0x50
0x100c1ff|0|0x10083d7|0|0x0|0x10086f1|0x50
0x100c1fe|0|0x10083d7|0|0x100d0f0|0x10086f1|0x250
0x100c1f9|0|0x10083d7|0|0x100d0f0|0x10086f1|0x251
0x100c1f7|0|0x10083d7|0|0x0|0x10086f1|0x250
0x100c005|0|0x3b3e|0|0x0|0x0|0x0
0x100bd37|1|0x19|0|0x0|0x84241|0x236
0x100bd35|1|0x19|0|0x0|0x0|0x0
0x100ad19|0|0x10083d7|0|0x0|0x10086ee|0xda
