FormID: 0100683B	NVDLC02ZionCanyon	WRLD	 	Zion Canyon
FormID: 01008884	ThreeMarysMarker	MAPM	 	Three Marys
FormID: 01008885	SouthernPassageMapMarker	MAPM	 	Southern Passage
FormID: 01008886	EasternVirginMapMarker	MAPM	 	Dead Horses Camp
FormID: 01008887	PineCreekMapMarker	MAPM	 	Pine Creek Tunnel
FormID: 01008889	TheNarrowsMapMarker	MAPM	 	Sorrows Camp
FormID: 01008891	NVDLC02MQ00	QUST	 	Happy Trails Expedition
FormID: 01008892	NVDLC02MQ02	QUST	 	Supply Train
FormID: 01008893	NVDLC02MQ01	QUST	 	Arrival at Zion
FormID: 01008894	NVDLC02MQ03	QUST	 	The Grand Staircase
FormID: 01008897	NVDLC02InvisibleCaveDoorEnter	DOOR	 	Entrance
FormID: 01008899	NVDLC02PrefabCaves	CELL	 	PREFAB CAVES
FormID: 01008A33	NVDLC02LoadMessage01	MESG	 	Happy Trails Expedition
FormID: 01008A34	NVDLC02LoadMessage02	MESG	 	Honest Hearts Loaded
FormID: 01008A36	NVDLC02MQ04	QUST	 	Crush the White Legs
FormID: 01008A37	NVDLC02MQ05	QUST	 	Flight from Zion
FormID: 01008A38	NVDLC02Daniel	NPC_	 	Daniel
FormID: 01008A39	NVDLC02Joshua	NPC_	 	Joshua Graham
FormID: 01008A3A	NVDLC02SaltUponWounds	NPC_	 	Salt-Upon-Wounds
FormID: 01008A3E	NVDLC02NarrowsAbandoned	CELL	 	Sweet Flower Cave
FormID: 01008A3F	NVDLC02Survivalist01	CELL	 	Stone Bones Cave
FormID: 01008A40	NVDLC02NarrowsTunnel	CELL	 	Crossroad Cavern
FormID: 01008A41	NVDLC02NarrowsSorrows	CELL	 	Half Mouse Cave
FormID: 01008A43	NVDLC02NarrowsWhiteLegs	CELL	 	Glass Chime Cave
FormID: 01008E17	ModNVDLC0245AutoPistolHDSlide	IMOD	 	.45 AP HD Slide
FormID: 01008E18	ModNVDLC0245AutoPistolSilencer	IMOD	 	.45 AP Silencer
FormID: 01008E1A	NVDLC02Weap45AutoPistol	WEAP	 	.45 Auto Pistol
FormID: 01008E1C	NVDLC023MarysCave	CELL	 	Three Marys' Caverns
FormID: 01008EA5	NVDLC02EasternVirginSurvivalistCave	CELL	 	Fallen Rock Cave
FormID: 01008EA6	NVDLC02EasternVirginAngelCave	CELL	 	Angel Cave
FormID: 010093C0	NVDLC02EasternVirginTrigger	ACTI	 	Eastern Virgin Trigger
FormID: 010093C3	NVDLC02Compass	MISC	 	Compass
FormID: 010093C4	NVDLC02WalkieTalkie	MISC	 	Walkie-Talkie
FormID: 010093C6	NVDLC02DebugBox	CONT	 	Debug Box
FormID: 010093C8	NVDLC02PlayerStartTrigger	ACTI	 	Player Start Trigger
FormID: 010093CB	BighornBluffMapMarker	MAPM	 	Bighorn Bluff
FormID: 010093CC	NVDLC02BighornBluffTrigger	ACTI	 	Bighorn Bluff Trigger
FormID: 010093D0	NVDLC02PineCreekTrigger	ACTI	 	Pine Creek Trigger
FormID: 010093D2	VirginRiverMapMarker	MAPM	 	Virgin River
FormID: 010093D3	NVDLC02VirginRiverTrigger	ACTI	 	Virgin River Trigger
FormID: 010093D9	NVDLC02WhiteLegsTribalMQ04	NPC_	 	White Legs Bone-Breaker
FormID: 01009425	NVDLC02ZionStore	CELL	 	General Store
FormID: 01009426	NVDLC02ZionStation	CELL	 	Ranger Station
FormID: 01009427	NVDLC02ZionLodge	CELL	 	Fishing Lodge
FormID: 0100946D	NVDLC02ZionStoreOutDoor	DOOR	 	Door
FormID: 0100946E	NVDLC02ZionStoreDoor	DOOR	 	Door
FormID: 0100947B	NVDLC02Ammo45Auto	AMMO	 	.45 Auto
