GMST|0x100e21f|iMapMarkerVisibleDistance|
TXST|0x1009a53|nvdlc041stPersonRedGlareTexture|
TXST|0x10094f0|1stPersonNVDLC04SonicDetonatorTexture01|
TXST|0x100938d|1stPersonNVDLC04NailerTexture|
TXST|0x10090be|NVDLC04billboard03|
TXST|0x10090bd|NVDLC04billboard02|
TXST|0x10090bc|NVDLC04billboard01|
TXST|0x1008cba|1stPersonNVDLC04IndustrialHandTexture|
TXST|0x1008b07|1stPersonNVDLC04BladeWestTexture|
TXST|0x10087b5|1stPersonNVDLC04SonicDetonatorTexture|
TXST|0x10076e4|1stPersonNVDLC04SatchelChargeTexture|
TXST|0x10076d7|1stPersonNVDLC04Flagpoletexture|
TXST|0x1004c38|1stPersonNVDLC04FlashBangGrenadeTexture|
TXST|0x10046c1|1stPersonGrenadeRifleBLUEtexture|
TXST|0x10046bf|1stPersonGrenadeRifleREDtexture|
TXST|0x1004685|1stPersonNVDLC04BowieKnife|
GLOB|0x1003612|NVDLC04SecondaryQuestXP|
GLOB|0x100360d|NVDLC04Act3XPPercentage|
GLOB|0x100360c|NVDLC04Act3XP|
GLOB|0x100360b|NVDLC04Act2XPPercentage|
GLOB|0x100360a|NVDLC04Act2XP|
GLOB|0x1003609|NVDLC04Act1XPPercentage|
GLOB|0x1003608|NVDLC04Act1XP|
CLAS|0x100dbea|NVDLC04MarkedMenBeastClass|Marked Men Marauder
CLAS|0x100dbe9|NVDLC04MarkedMenRavagerClass|Marked Men Ravager
CLAS|0x100dbe8|NVDLC04MarkedMenScoutClass|Marked Men Scout
CLAS|0x100dbe7|NVDLC04MarkedMenHunterClass|Marked Men Hunter
CLAS|0x100c9d2|NVDLC04MarkedMenMarauderClass|Marked Men Marauder
CLAS|0x100c205|NVDLC04LegionExplorerClass|Legion Explorer
CLAS|0x100a874|NVDLC04MerchantClass|Merchant Class
CLAS|0x100a679|NVDLC04UlyssesClass|Ulysses Class
FACT|0x100dfea|NVDLC04NukeNCREnemyFaction|
FACT|0x100df0b|NVDLC04NukeLegionEnemyFaction|
FACT|0x100deb9|NVDLC04TunnelerFriendFaction|NVDLC04 Tunneler Faction
FACT|0x100ca78|NVDLC04Silo2NukeFaction|
FACT|0x100b3e5|NVDLC04Silo02LiftTunnelerFaction|NVDLC04 Silo02 Lift Tunneler Faction
FACT|0x1009693|NVDLC04TempleEyebotFaction|Eyebot faction for friendly eyebots
FACT|0x100949a|NVDLC04TempleBattleFaction|Ulysses Temple Battle Faction
FACT|0x1008d74|NVDLC04MarkedMenFaction|
FACT|0x1008955|NVDLC04Silo01SecurityBotFaction|Hopeville Silo Security Faction
FACT|0x1008954|NVDLC04Silo01SecurityTurretFaction|Hopeville Silo Security Faction
FACT|0x100766c|NVDLC04TunnelerFaction|NVDLC04 Tunneler Faction
FACT|0x1003e42|NVDLC04UlyssesFaction|
FACT|0x1003e41|NVDLC04PlayerFaction|
RACE|0x10083d7|MarkedMenGhoul|Ghoul
SOUN|0x100e001|NVDLC04WpnSMMGSpinLP|
SOUN|0x100dddb|NPCDeathClawScriptLand|
SOUN|0x100d6bc|NVDLC04QSTEdeFlyAway|
SOUN|0x100d5d9|NVDLC04NPCTunnelerEmerge|
SOUN|0x100d5d7|NVDLC04ObjAutoDocLP|
SOUN|0x100d5d6|NVDLC04ObjWarheadFire2|
SOUN|0x100d5d5|NVDLC04ObjWarheadFire1|
SOUN|0x100d59d|NVDLC04DRSProjPurityBulkheadOpen|
SOUN|0x100d59b|NVDLC04OBJConsole02LP|
SOUN|0x100d59a|NVDLC04AMBElectricArcLarge|
SOUN|0x100d597|NVDLC04EMTAirVentLP|
SOUN|0x159b27|NPCRobotEdEAlertThreat|
SOUN|0x7d2c3|OBJComputerZAXHumLP|
SOUN|0x100d574|NVDLC04ObjSiloControlRight|
SOUN|0x100d573|NVDLC04ObjSiloControlLeft|
SOUN|0x100d572|NVDLC04DRSEnclaveLargeOpen|
SOUN|0x100d4d8|NVDLC04FXExplosionNukeSmall2D|
SOUN|0x100d4d3|NVDLC04OBJElevatorStart|
SOUN|0x100d4d2|NVDLC04FXExplosionArch1|
SOUN|0x100d4d1|NVDLC04FXExplosionNukeSmall3D|
SOUN|0x100d4d0|NVDLC04NPCSporeCarrierFenceClimbAlt|
SOUN|0x100d4cf|NVDLC04NPCSporeCarrierFenceClimb|
SOUN|0x100d392|musNVDLC04DeactivateNuke|
SOUN|0x100d391|NVDLC04FXFireLP2|
SOUN|0x100d374|NVDLC04QSTCarFly|
SOUN|0x100d362|NVDLC04QSTDivideRumble|
SOUN|0x100d270|NVDLC04QSTUlyssesFire|
SOUN|0x100d26f|NVDLC04UlyssesSiloOpen|
SOUN|0x100d26e|NVDLC04QSTCompletionNuke|
SOUN|0x100d26d|musNVDLC04BuildingCollapse|
SOUN|0x100d26c|NVDLC04QSTBuildingCollapseDebrisPt1|
SOUN|0x100d26b|NVDLC04QSTBuildingCollapse|
SOUN|0x140106|SoundTestTone|
SOUN|0x100d0c1|NVDLC04WPNLaserDerFire3D|
SOUN|0x100d0c0|NVDLC04WPNLaserDetFire2D|
SOUN|0x100d0bf|NVDLC04ObjElevatorLP|
SOUN|0x100d0bc|NVDLC04WPNFlareGunProjLP|
SOUN|0x100d0bb|NVDLC04WPNFlareGunFire3DDist|
SOUN|0x100d0ba|musNVDLC04WarheardExplode|
SOUN|0x100d0b9|NVDLC04QSTMissileLaunchPt3|
SOUN|0x100d0b8|NVDLC04QSTMissileLaunchPt2|
SOUN|0x100d0b7|NVDLC04QSTMissileLaunchPt1|
SOUN|0x100cfe5|musNVDLC04WarheardReveal|
SOUN|0x100cfe4|NVDLC04QSTEdeReveal|
SOUN|0x100cfe3|NVDLC04FXEdeArcExplosion|
SOUN|0x100cfe1|NVDLC04WPNEdeArcFire3D|
SOUN|0x100ce74|NVDLC04WPNMineArm|
SOUN|0x100ce73|NVDLC04WPNSMMGJamPt3|
SOUN|0x100ce72|NVDLC04WPNSMMGJamPt1|
SOUN|0x100ce71|NVDLC04WPNSMMGReloadPt2|
SOUN|0x100ce70|NVDLC04WPNSMMGReloadPt1|
SOUN|0x100ce6f|NVDLC04WPNSMMGJamPt2|
SOUN|0x100ce6e|NVDLC04WPNRedGlareJam|
SOUN|0x100ce6d|NVDLC04WPNRedGlareReloadPt7|
SOUN|0x100ce6c|NVDLC04WPNRedGlareReloadPt6|
SOUN|0x100ce6b|NVDLC04WPNRedGlareReloadPt5|
SOUN|0x100ce6a|NVDLC04WPNRedGlareReloadPt4|
SOUN|0x100ce69|NVDLC04WPNRedGlareReloadPt3|
SOUN|0x100ce68|NVDLC04WPNRedGlareReloadPt2|
SOUN|0x100ce67|NVDLC04WPNRedGlareReloadPt1|
SOUN|0x100cc67|NVDLC04WPNMissileLauncherFire3D|
SOUN|0x100cc66|NVDLC04WPNMissileLauncherFire2D|
SOUN|0x100cc65|NVDLC04WPNNailGunFire3D|
SOUN|0x100cc64|NVDLC04WpnNailGunFire2D|
SOUN|0x100cbb9|NVDLC04WPNIndustrialHandAtkLp|
SOUN|0x100cbb2|NVDLC04EMTVistaWindLow3|
SOUN|0x100cbb1|NVDLC04WPNIndustrialHandIdleLp|
SOUN|0x100cbb0|NVDLC04WPNGrenadeLauncherFire2D|
SOUN|0x100cbaf|NVDLC04FXExplFlashBand|
SOUN|0x100cae1|NVDLC04FXFlareImpact|
SOUN|0x100cae0|NVDLC04WPNFlareGunFire3D|
SOUN|0x100cadf|NVDLC04WPNFlareGunFire2D|
SOUN|0x100cade|NVDLC04FXPlasmaImpactConc|
SOUN|0x100cadb|NVDLC04WPNArcWelderIdleLP|
SOUN|0x100cada|NVDLC04WPNArcWelderLPM|
SOUN|0x100cad2|NVDLC04EmtVistaWindLPDup|
SOUN|0x100c82c|NVDLC04NPCTunnelerScream|
SOUN|0x100c7a6|NVDLC04EMTImpactNoiseLp|
SOUN|0x100c787|NVDLC04FXFireLP|
SOUN|0x100c786|NVDLC04EMTVistaWindLow2|
SOUN|0x100c785|NVDLC04EMTCliffDebrisLargeOS|
SOUN|0x100c71d|NVDLC04EmtVistaWindLP4|
SOUN|0x100c71c|NVDLC04EmtVistaWindLP3|
SOUN|0x100c71b|NVDLC04EmtVistaWindLP2|
SOUN|0x100c71a|NVDLC04EmtVistaWindLP1|
SOUN|0x100c671|NVDLC04AMBfDesertBedDay|
SOUN|0x100c670|NVDLC04AMBFDesertBedNight|
SOUN|0x100c66f|NVDLC04AMBFDesertBedDusk|
